institution_id,period_id,disorder_index,field_id
40253897,3,0.7570356472795498,0
40347166,0,0.8929633300297324,0
40347166,1,0.7950428979980935,0
40347166,2,0.8098330241187384,0
40347166,3,0.8649155722326454,0
43522216,0,0.5163528245787908,0
43522216,1,0.7006673021925643,0
43522216,2,0.5732838589981447,0
43522216,3,0.6566604127579737,0
43579087,0,0.8077304261645193,0
43579087,1,0.8255481410867492,0
43579087,2,0.761595547309833,0
43579087,3,0.5544090056285178,0
44265643,0,0.3478691774033697,0
44265643,1,0.7578646329837941,0
44265643,2,0.6484230055658627,0
44265643,3,0.6951219512195121,0
44461941,0,0.7809712586719524,0
44461941,1,0.6596758817921831,0
44461941,2,0.8339517625231911,0
44461941,3,0.7804878048780488,0
44854399,0,0.4975222993062438,0
44854399,1,0.48427073403241183,0
44854399,2,0.512987012987013,0
44854399,3,0.7898686679174484,0
45438204,0,0.6065411298315163,0
45438204,1,0.655862726406101,0
45438204,2,0.8404452690166976,0
45438204,3,0.798311444652908,0
47251452,0,0.7304261645193261,0
47251452,1,0.8369876072449952,0
47251452,2,0.6549165120593692,0
47251452,3,0.7776735459662288,0
47301684,0,0.8126858275520317,0
47301684,1,0.8226882745471878,0
47301684,2,0.8274582560296846,0
