institution_id,institution_name,country_name,latitude,longitude,research_level
126744593,"University of Maryland, Baltimore (US)",United States,39.29038,-76.61219,R1
127073530,OhioHealth (US),United States,39.96118,-82.99879,
127339247,California State University System (US),United States,33.76696,-118.18923,
127591826,University of Dayton (US),United States,39.75895,-84.19161,R1
128902783,Midwestern University (US),United States,41.80892,-88.01117,D/PU
128956969,Texas Christian University (US),United States,32.72541,-97.32085,R2
129302853,Roche (United States) (US),United States,37.77493,-122.41942,
129975664,Albert Einstein College of Medicine (US),United States,40.84985,-73.86641,R2
130238516,University of Minnesota (US),United States,44.97997,-93.26384,R1
130701444,Georgia Institute of Technology (US),United States,33.749,-84.38798,R1
130769515,Pennsylvania State University (US),United States,40.79339,-77.86,R1
131249849,Oregon State University (US),United States,44.56457,-123.26204,R1
131651094,University of Denver (US),United States,39.73915,-104.9847,R1
132943300,Emory Healthcare (US),United States,33.749,-84.38798,
133738476,University of Massachusetts Lowell (US),United States,42.63342,-71.31617,R1
133999245,"University of Nevada, Las Vegas (US)",United States,36.17497,-115.13722,R1
134113660,"University of Nevada, Reno (US)",United States,39.52963,-119.8138,R1
134386540,Louisiana State University Agricultural Center (US),United States,30.44332,-91.18747,
134446601,Berkeley College (US),United States,40.71427,-74.00597,
135191193,University of Indianapolis (US),United States,39.76838,-86.15804,
135310074,University of Wisconsin–Madison (US),United States,43.07305,-89.40123,R1
136199984,Harvard University (US),United States,42.3751,-71.10561,R1
137853757,Howard University (US),United States,38.89511,-77.03637,R1
137902535,North Carolina State University (US),United States,35.7721,-78.63861,R1
138006243,University of Arizona (US),United States,32.22174,-110.92648,R1
138873065,Long Island University (US),United States,40.81316,-73.56735,
139290212,Hofstra University (US),United States,40.70621,-73.61874,R2
139787848,Capital University (US),United States,39.96895,-82.93768,
140172145,University of Connecticut (US),United States,41.80843,-72.24952,R1
141472210,University of Alaska Fairbanks (US),United States,64.83778,-147.71638,R2
141649380,Western Michigan University (US),United States,42.29171,-85.58723,R2
142066694,ITRI International (US),United States,37.33939,-121.89496,
142207940,California NanoSystems Institute (US),United States,34.05223,-118.24368,
142606810,Pacific Northwest National Laboratory (US),United States,46.28569,-119.28446,
142740786,University of Louisville (US),United States,38.25424,-85.75941,R1
142823887,St. John's University (US),United States,40.71427,-74.00597,D/PU
142934699,"California State University, Fullerton (US)",United States,33.87029,-117.92534,R2
143302722,University of Kentucky (US),United States,37.98869,-84.47772,R1
145311948,Johns Hopkins University (US),United States,39.29038,-76.61219,R1
145608581,University of Miami (US),United States,25.72149,-80.26838,R1
145610796,Southern University and Agricultural and Mechanical College (US),United States,30.44332,-91.18747,R2
146183641,Spectrum Health (US),United States,42.96336,-85.66809,
146416000,University of Kansas (US),United States,38.97167,-95.23525,R1
147853995,University of Alaska Anchorage (US),United States,61.21806,-149.90028,D/PU
147878501,Orlando Health (US),United States,28.53834,-81.37924,
148283060,Lawrence Berkeley National Laboratory (US),United States,37.87159,-122.27275,
148314036,Uniformed Services University of the Health Sciences (US),United States,38.98067,-77.10026,
149251103,Thomas Jefferson University (US),United States,39.95238,-75.16362,R2
149700789,Augustana University (US),United States,43.54997,-96.70033,
149744451,Valparaiso University (US),United States,41.47309,-87.06114,
149910238,Kent State University (US),United States,41.15367,-81.35789,R1
149919469,California Polytechnic State University (US),United States,35.28275,-120.65962,D/PU
150149174,Mercer University (US),United States,32.84069,-83.6324,R2
150209017,Scripps Institution of Oceanography (US),United States,32.84727,-117.2742,
