institution_id,child,child_name
137902535,4210131205,UNC/NCSU Joint Department of Biomedical Engineering (US)
139290212,4210106353,Donald & Barbara Zucker School of Medicine at Hofstra/Northwell (US)
140172145,4210106758,Connecticut Sea Grant (US)
141472210,4396570543,International Arctic Research Center
142606810,112475681,Joint Global Change Research Institute (US)
142606810,2801280572,Environmental Molecular Sciences Laboratory (US)
142740786,4210122955,Cardiovascular Innovation Institute (US)
145311948,2802946424,Johns Hopkins University Applied Physics Laboratory (US)
145311948,4210092215,Johns Hopkins Berman Institute of Bioethics (US)
145311948,4210131961,Johns Hopkins University SAIS Bologna Center (IT)
145311948,4210151848,Johns Hopkins Center for Communication Programs (US)
145311948,4210162165,Johns Hopkins University – Nanjing University Center for Chinese and American Studies (CN)
145311948,4389425327,Johns Hopkins University Center for AIDS Research
145311948,4394709191,Johns Hopkins University Press
145608581,4210101935,University of Miami Health System (US)
146183641,4210096007,Corewell Health Blodgett Hospital (US)
146183641,4210130567,Helen DeVos Children's Hospital (US)
146183641,4210156874,Corewell Health Butterworth Hospital (US)
146416000,4210144928,Center for Remote Sensing and Integrated Systems (US)
146416000,4402554214,Kansas Geological Survey
147878501,2800658630,Orlando Regional Medical Center (US)
147878501,2800715904,Arnold Palmer Hospital for Children (US)
148283060,196679689,Joint Genome Institute (US)
148283060,4210151627,National Energy Research Scientific Computing Center (US)
148283060,4210156299,Joint Center for Artificial Photosynthesis (US)
148283060,4387152530,Advanced Light Source
148283060,4387154492,Molecular Foundry
148314036,4210125186,Defense & Veterans Center for Integrative Pain Management (US)
150468666,2802612298,The Wallace H. Coulter Department of Biomedical Engineering (US)
150468666,4210094864,Emory Eye Center (US)
150468666,4210109911,Woodruff Health Sciences Center (US)
150468666,4210133909,Center for Translational Research in Neuroimaging and Data Science (US)
150468666,4392738091,Emory National Primate Research Center
154057602,2803043754,Henry Ford Hospital (US)
154570441,142207940,California NanoSystems Institute (US)
154570441,4210100421,National Center for Ecological Analysis and Synthesis (US)
157725225,4210135837,National Center for Supercomputing Applications (US)
161318765,142207940,California NanoSystems Institute (US)
161318765,4400573288,UCLA Clinical and Translational Science Institute
161675122,4390039322,National Snow and Ice Data Center
165139151,2799739429,John Peter Smith Hospital (US)
165690674,4390039369,OHSU Knight Cancer Institute
165690674,4392738146,Vaccine and Gene Therapy Institute
165733156,122690471,Skidaway Institute of Oceanography (US)
165951966,4390039360,Mays Cancer Center at UT Health San Antonio
166416128,4210163870,United States Army Research Office (US)
166722992,4210111403,Eunice Kennedy Shriver Center (US)
168537998,4210095227,Eli Lilly (United Kingdom) (GB)
168537998,4210101515,Eli Lilly (Singapore) (SG)
168537998,4210108315,Eli Lilly (Japan) (JP)
168537998,4210110958,Eli Lilly (Germany) (DE)
168537998,4210114640,Eli Lilly (India) (IN)
168537998,4210123112,Eli Lilly (Netherlands) (NL)
168537998,4210128228,Eli Lilly (Spain) (ES)
168537998,4210164813,Eli Lilly (Italy) (IT)
168537998,4210164863,Eli Lilly (Canada) (CA)
169521973,4390039284,UNM Comprehensive Cancer Center
170201317,4210086114,Center for the Neural Basis of Cognition (US)
170201317,4210086901,University of Pittsburgh at Bradford (US)
170201317,4210116096,University of Pittsburgh at Titusville (US)
170201317,4210117416,University of Pittsburgh at Greensburg (US)
170201317,4210128526,UPMC Hillman Cancer Center (US)
170201317,4210134124,University of Pittsburgh at Johnstown (US)
170201317,4210155891,McGowan Institute for Regenerative Medicine (US)
170897317,69048370,Renaissance Computing Institute (US)
170897317,4210126319,Duke-NUS Medical School (SG)
170897317,4210159968,Duke Kunshan University (CN)
173268674,51380931,Texas A&M University – Texarkana (US)
173268674,75063564,Tarleton State University (US)
173268674,76756774,Texas A&M University – Central Texas (US)
173268674,91045830,Texas A&M University (US)
173268674,96749437,Texas A&M University – Corpus Christi (US)
173268674,131740757,Texas A&M International University (US)
173268674,164185940,Texas A&M University at Galveston (US)
173268674,181414168,Texas A&M University – Kingsville (US)
173268674,188674872,West Texas A&M University (US)
173268674,206651237,Texas A&M University – Commerce (US)
173268674,250520410,Prairie View A&M University (US)
173268674,1335518801,Texas A&M University – San Antonio (US)
173911158,2802789608,Ames National Laboratory (US)
174216632,10421873,LaGuardia Community College (US)
174216632,15653065,Borough of Manhattan Community College (US)
174216632,23944027,Kingsborough Community College (US)
174216632,32170380,Medgar Evers College (US)
174216632,39694355,Hunter College (US)
174216632,47807954,"Queensborough Community College, CUNY (US)"
174216632,50568159,Hostos Community College (US)
174216632,54648344,Bronx Community College (US)
174216632,76513827,New York City College of Technology (US)
174216632,83041322,Brooklyn College (US)
174216632,92507152,John Jay College of Criminal Justice (US)
174216632,111455621,"Queens College, CUNY (US)"
174216632,121847817,"The Graduate Center, CUNY (US)"
174216632,125687163,City College of New York (US)
174216632,141810926,Baruch College (US)
174216632,142393192,College of Staten Island (US)
174216632,150397245,"York College, City University of New York (US)"
174216632,161301626,Lehman College (US)
174216632,2800359653,CUNY School of Law (US)
174216632,4210107475,CUNY Advanced Science Research Center (US)
174216632,4210117172,Craig Newmark Graduate School of Journalism at the City University of New York (US)
174216632,4210145477,CUNY Energy Institute (US)
175003984,1288214837,United States Naval Research Laboratory (US)
180297670,4210120329,RTI Health Solutions (US)
180670191,103922791,QB3 (US)
180670191,4210109258,Innovative Genomics Institute (US)
180670191,4210167126,UCSF Helen Diller Family Comprehensive Cancer Center (US)
180857899,189718659,Pfizer (United Kingdom) (GB)
180857899,4210092030,Pfizer (Sweden) (SE)
180857899,4210099786,Pfizer (Switzerland) (CH)
180857899,4210100293,Pfizer (Germany) (DE)
180857899,4210114767,Pfizer (Belgium) (BE)
180857899,4210118061,Pfizer (France) (FR)
180857899,4210122616,Pfizer (Netherlands) (NL)
180857899,4210138890,Pfizer (Spain) (ES)
180857899,4210139204,Pfizer (Australia) (AU)
180857899,4210142120,Pfizer (Italy) (IT)
180857899,4210146446,Pfizer (South Korea) (KR)
180857899,4210148567,Pfizer (China) (CN)
180857899,4210148786,Pfizer (Japan) (JP)
180857899,4210155296,Pfizer (Canada) (CA)
180857899,4210163853,Pfizer (India) (IN)
180857899,4210166375,Pfizer (Ireland) (IE)
181547552,4210145836,Center for Theoretical Biological Physics (US)
181547552,4390039366,Dan L Duncan Comprehensive Cancer Center
181565077,4210133909,Center for Translational Research in Neuroimaging and Data Science (US)
184565670,4210115356,Georgetown University in Qatar (QA)
184565670,4390039356,Georgetown Lombardi Comprehensive Cancer Center
184840846,4210093164,VCUQatar (QA)
184840846,4390039382,VCU Massey Comprehensive Cancer Center
185103710,103922791,QB3 (US)
188538660,137473845,Joint Institute for Laboratory Astrophysics (US)
188538660,161675122,Cooperative Institute for Research in Environmental Sciences (US)
188538660,182286215,Institute of Arctic and Alpine Research (US)
188538660,4210114008,Laboratory for Atmospheric and Space Physics (US)
188891513,4210135360,Translational Research Institute for Metabolism and Diabetes (US)
189590672,33339663,Kansas State University Salina Aerospace and Technology Campus (US)
196817621,4210117844,Department of Embryology (US)
196817621,4210124388,Carnegie Observatories (US)
197604219,1282927378,National Academy of Medicine (US)
197604219,1318687432,National Academy of Sciences (US)
197604219,1329254379,National Academy of Engineering (US)
197604219,4210127369,Transportation Research Board (US)
198811213,192454743,Sandia National Laboratories California (US)
198811213,1282311441,Lawrence Livermore National Laboratory (US)
198811213,1343871089,Los Alamos National Laboratory (US)
198811213,4210104735,Sandia National Laboratories (US)
198811213,4210127218,Center for Integrated Nanotechnologies (US)
200870766,4210158631,RIKEN BNL Research Center (US)
200870766,4387155430,National Synchrotron Light Source II
200870766,4390039222,Center for Functional Nanomaterials
201448701,2802617771,Health Alliance International (US)
201448701,4210102726,Seattle Epidemiologic Information and Research Center (US)
201448701,4210126198,Harborview Injury Prevention and Research Center (US)
201448701,4210138199,University of Washington Applied Physics Laboratory (US)
201448701,4210138624,University of Washington Bothell (US)
201448701,4210139762,Washington Sea Grant (US)
201448701,4210150356,University of Washington Tacoma (US)
201448701,4387153569,Friday Harbor Laboratories
204308271,4392738256,Medical College of Wisconsin Cancer Center
204465549,4392738227,Taylor Family Institute for Innovative Psychiatric Research
204866599,4210089390,Palo Alto Veterans Institute for Research (US)
205783295,4210092791,New York State College of Agriculture & Life Sciences (US)
205783295,4210098983,New York State School of Industrial and Labor Relations (US)
205783295,4210144145,New York State University College of Human Ecology (US)
205783295,4210151139,New York State College of Veterinary Medicine (US)
205783295,4387153357,Cornell Lab of Ornithology
205783295,4387153466,Weill Cornell Medicine (US)
205783295,4392738320,Cornell University Agricultural Experiment Station
219193219,2800461586,Illinois Indiana Sea Grant (US)
257179599,4210146965,Baker Hughes (Germany) (DE)
257179599,4210160908,Baker Hughes (Canada) (CA)
859038795,39822340,Virginia–Maryland College of Veterinary Medicine (US)
859038795,4210104154,Virginia Tech - Wake Forest University School of Biomedical Engineering & Sciences (US)
859038795,4387930269,Virginia Tech Transportation Institute
867280407,2800861319,Texas Health Dallas (US)
867280407,4210145855,Institute for Exercise and Environmental Medicine (US)
867280407,4390039370,Harold C. Simmons Comprehensive Cancer Center
872248612,16970960,Scripps College (US)
872248612,90708416,Keck Graduate Institute (US)
872248612,106107269,Claremont McKenna College (US)
872248612,133543626,Harvey Mudd College (US)
872248612,136722135,Claremont Graduate University (US)
872248612,141778976,Pitzer College (US)
872248612,177881444,Pomona College (US)
901861585,1299406639,Monroe Carell Jr. Children's Hospital (US)
901861585,4210096570,Vanderbilt Psychiatric Hospital (US)
