year,institution_id,n_works,n_authors,domain_id
2014,2802152183,525,935,0
2014,2802203029,175,295,0
2014,2802216851,113,252,0
2014,2802236040,2154,3580,0
2014,2802326326,3,4,0
2014,2802336062,28,63,0
2014,2802366037,79,150,0
2014,2802397601,170,247,0
2014,2802412784,76,95,0
2014,2802423016,422,942,0
2014,2802446248,1,2,0
2014,2802450327,1393,2486,0
2014,2802534011,28,64,0
2014,2802576979,44,124,0
2014,2802581893,342,646,0
2014,2802612298,83,160,0
2014,2802705668,111,169,0
2014,2802706902,24,55,0
2014,2802730090,132,251,0
2014,2802789608,51,129,0
2014,2802821144,67,160,0
2014,2802827176,212,459,0
2014,2802841742,1605,2507,0
2014,2802841970,315,766,0
2014,2802849423,327,1043,0
2014,2802864460,149,311,0
2014,2802946424,94,98,0
2014,2802948906,37,105,0
2014,2802964274,77,152,0
2014,2802992173,70,86,0
2014,2803018670,11,18,0
2014,2803028891,2,2,0
2014,2803043754,172,389,0
2014,2803209242,15710,26274,0
2014,2887101046,548,857,0
2014,2948394018,10,21,0
2014,2948539688,185,580,0
2014,3019308854,536,851,0
2014,3019586173,143,309,0
2014,3130687028,62,89,0
2014,3132238960,1,1,0
2014,3132585960,2455,3679,0
2014,3143470655,8,27,0
2014,4210085935,17,42,0
2014,4210086682,24,29,0
2014,4210086933,345,678,0
2014,4210086971,77,129,0
2014,4210087384,88,88,0
2014,4210087413,61,124,0
2014,4210087454,33,46,0
2014,4210087560,14,35,0
2014,4210087596,17,24,0
2014,4210087865,86,248,0
2014,4210087915,2664,4717,0
2014,4210088259,109,161,0
2014,4210088475,712,1123,0
2014,4210088488,39,84,0
2014,4210088555,101,188,0
2014,4210088741,69,168,0
2014,4210088792,223,594,0
2014,4210088923,14,32,0
2014,4210089162,25,39,0
2014,4210089330,20,34,0
2014,4210089431,38,89,0
2014,4210089486,814,1232,0
2014,4210089489,45,120,0
2014,4210089612,125,238,0
2014,4210089954,160,339,0
2014,4210090236,205,320,0
2014,4210090317,217,296,0
2014,4210090529,8,13,0
2014,4210090567,266,391,0
2014,4210090807,1,2,0
2014,4210090916,105,173,0
2014,4210091634,1,2,0
2014,4210091794,85,171,0
2014,4210091810,41,67,0
2014,4210091812,363,1361,0
2014,4210092882,20,65,0
2014,4210094059,5,5,0
2014,4210094360,16,43,0
2014,4210094549,85,119,0
2014,4210094889,369,432,0
2014,4210094901,207,280,0
2014,4210094981,5,10,0
2014,4210095140,247,395,0
2014,4210095266,85,137,0
2014,4210095851,273,410,0
2014,4210096018,20,72,0
2014,4210096275,117,233,0
2014,4210096498,121,283,0
2014,4210096636,26,55,0
2014,4210096972,46,85,0
2014,4210097785,10,41,0
2014,4210098814,329,747,0
2014,4210098931,41,77,0
2014,4210099336,74,161,0
2014,4210099595,192,262,0
2014,4210100211,6,21,0
2014,4210100294,43,99,0
2014,4210100810,125,130,0
2014,4210100841,3,11,0
2014,4210101049,52,181,0
2014,4210101190,131,198,0
2014,4210101327,87,163,0
2014,4210101641,38,49,0
2014,4210101935,121,250,0
2014,4210102044,8,36,0
2014,4210102099,90,183,0
2014,4210102181,72,106,0
2014,4210102705,8,9,0
2014,4210104314,46,58,0
2014,4210104735,95,134,0
2014,4210104856,24,26,0
2014,4210104968,13,20,0
2014,4210105015,30,54,0
2014,4210105273,2,3,0
2014,4210105618,19,55,0
2014,4210105714,207,500,0
2014,4210105766,89,131,0
2014,4210106353,1,4,0
2014,4210106489,407,874,0
2014,4210106595,143,432,0
2014,4210106879,228,369,0
2014,4210107338,13,17,0
2014,4210107408,146,423,0
2014,4210107917,6,12,0
2014,4210108049,106,187,0
2014,4210108601,3,5,0
2014,4210108700,13,31,0
2014,4210108791,179,359,0
2014,4210108968,70,269,0
2014,4210108985,36,59,0
2014,4210108991,72,129,0
2014,4210109259,122,303,0
2014,4210109567,259,701,0
2014,4210110459,290,668,0
2014,4210110509,65,135,0
2014,4210110523,183,343,0
2014,4210110664,186,335,0
2014,4210110767,270,481,0
2014,4210110848,1,4,0
2014,4210110987,54,120,0
2014,4210111179,291,675,0
2014,4210111804,96,246,0
2014,4210111876,51,67,0
2014,4210111906,82,187,0
2014,4210111938,57,124,0
2014,4210112371,960,1648,0
2014,4210112577,67,137,0
2014,4210112672,122,199,0
2014,4210113003,39,58,0
2014,4210113540,51,73,0
2014,4210114115,63,99,0
2014,4210114143,248,639,0
2014,4210114444,4,6,0
2014,4210114445,281,604,0
2014,4210114575,65,149,0
2014,4210114836,7,12,0
2014,4210115145,54,81,0
2014,4210115238,145,281,0
2014,4210115256,192,284,0
2014,4210115614,2,2,0
2014,4210115976,204,256,0
2014,4210116243,8,34,0
2014,4210117083,23,47,0
2014,4210117453,1406,2414,0
2014,4210117499,59,124,0
2014,4210117619,255,653,0
2014,4210117924,72,91,0
2014,4210118014,10,14,0
2014,4210118434,94,149,0
2014,4210119004,70,125,0
2014,4210119046,257,647,0
2014,4210119109,578,805,0
2014,4210119589,80,124,0
2014,4210120050,317,361,0
2014,4210120076,21,58,0
2014,4210120349,44,90,0
2014,4210120668,57,228,0
2014,4210120900,47,54,0
2014,4210121272,5,11,0
2014,4210121439,69,205,0
2014,4210121988,21,22,0
2014,4210122704,299,382,0
2014,4210122924,286,487,0
2014,4210122954,13,32,0
2014,4210123017,65,126,0
2014,4210124136,4,16,0
2014,4210124153,41,44,0
2014,4210124175,26,49,0
2014,4210124598,43,130,0
2014,4210124779,352,463,0
2014,4210125099,871,1757,0
2014,4210125474,155,241,0
2014,4210126032,296,450,0
2014,4210126298,1022,2241,0
2014,4210126592,42,112,0
2014,4210127055,196,280,0
2014,4210127358,46,133,0
2014,4210127473,215,788,0
2014,4210127612,255,314,0
2014,4210127693,8,23,0
2014,4210127938,36,60,0
2014,4210128526,279,512,0
2014,4210128618,356,692,0
2014,4210128757,34,81,0
2014,4210128969,247,680,0
2014,4210129097,124,219,0
2014,4210130600,158,328,0
2014,4210130649,311,569,0
2014,4210131007,6,13,0
2014,4210131075,209,263,0
2014,4210131357,856,1296,0
2014,4210131712,59,110,0
2014,4210132596,26,48,0
2014,4210132746,47,81,0
2014,4210133143,59,109,0
2014,4210133905,247,415,0
2014,4210134091,105,137,0
2014,4210134534,638,1165,0
2014,4210134769,546,1109,0
2014,4210135078,45,75,0
2014,4210135252,196,375,0
2014,4210135903,36,59,0
2014,4210136305,81,177,0
2014,4210136897,264,496,0
2014,4210137306,274,531,0
2014,4210137555,16,24,0
2014,4210137750,47,91,0
2014,4210137803,51,119,0
2014,4210138024,88,123,0
2014,4210138094,443,638,0
2014,4210138309,35,98,0
2014,4210138311,96,170,0
2014,4210138500,4,7,0
2014,4210138636,163,212,0
2014,4210138663,363,561,0
2014,4210140114,15,28,0
2014,4210140176,115,236,0
2014,4210140341,293,581,0
2014,4210140405,15,37,0
2014,4210140816,92,255,0
2014,4210140884,1793,3507,0
2014,4210140958,92,229,0
2014,4210141039,1221,1926,0
2014,4210141337,82,67,0
2014,4210141674,6,24,0
2014,4210142152,23,66,0
2014,4210142217,12,26,0
2014,4210142393,19,28,0
2014,4210142480,173,295,0
2014,4210142672,152,247,0
2014,4210143137,47,93,0
2014,4210143381,174,281,0
2014,4210143392,178,368,0
2014,4210144023,130,192,0
2014,4210144228,280,490,0
2014,4210144267,120,251,0
2014,4210144560,8,14,0
2014,4210144876,1014,2235,0
2014,4210145274,364,467,0
2014,4210145812,237,638,0
2014,4210146328,28,39,0
2014,4210146389,4,5,0
2014,4210146710,540,990,0
2014,4210146983,108,184,0
2014,4210147155,236,627,0
2014,4210147340,109,131,0
2014,4210147348,84,189,0
2014,4210147586,263,467,0
2014,4210147799,29,58,0
2014,4210148048,7,11,0
2014,4210148268,185,344,0
2014,4210148589,3,3,0
