similarity_score,institution_id_scaled2,institution_id_scaled2_neighbor
0.991064190864563,18,138
0.9910117387771606,18,342
0.9902625679969788,18,393
0.9897146821022034,18,91
0.9894660711288452,18,258
0.9890872836112976,18,164
0.9886188507080078,18,279
0.9878341555595398,18,134
0.9861464500427246,18,277
0.9984543323516846,19,52
0.9975191354751587,19,339
0.9970828294754028,19,99
0.9967834949493408,19,27
0.9962576031684875,19,273
0.9957316517829895,19,5
0.9945106506347656,19,288
0.9944666624069214,19,70
0.99434494972229,19,36
0.9939204454421997,19,304
0.9929819107055664,19,349
0.9923341870307922,19,432
0.9921228289604187,19,44
0.9921194314956665,19,196
0.9920805096626282,19,33
0.9918319582939148,19,258
0.9917609095573425,19,336
0.991091251373291,19,386
0.9910793900489807,19,375
0.991018533706665,19,296
0.9999374151229858,20,246
0.9998579621315002,20,177
0.9998342990875244,20,45
0.9991849064826965,20,165
0.9987773299217224,20,40
0.998697817325592,20,675
0.9983224272727966,20,206
0.9978810548782349,20,226
0.9976662993431091,20,53
0.9976645708084106,20,1034
0.9973213076591492,20,23
0.9962389469146729,20,142
0.996161162853241,20,285
0.995657205581665,20,260
0.9953004121780396,20,735
0.9952412247657776,20,141
0.9940405488014221,20,370
0.9923088550567627,20,145
0.9919232726097107,20,249
0.991563081741333,20,918
0.9955642223358154,21,81
0.9951651096343994,21,221
0.9941521286964417,21,73
0.9918572902679443,21,277
0.990260899066925,21,400
0.9896419644355774,21,158
0.9866656064987183,21,343
0.9862834215164185,21,903
0.9849728345870972,21,418
0.9824970364570618,21,270
0.9823752641677856,21,203
0.9818053841590881,21,91
0.9812134504318237,21,39
0.980826199054718,21,164
0.9804084897041321,21,363
0.9800263047218323,21,333
0.9790505170822144,21,213
0.9777145385742188,21,2
0.9775048494338989,21,26
0.977087140083313,21,729
0.9992136359214783,22,87
0.9992068409919739,22,213
0.9991798400878906,22,151
0.9988889694213867,22,59
0.9985033869743347,22,25
0.9980856776237488,22,381
0.9977863430976868,22,903
0.9975157380104065,22,371
0.9972299933433533,22,105
0.997032105922699,22,35
0.9968274831771851,22,194
0.9965991973876953,22,222
0.9958550930023193,22,962
0.9947406649589539,22,453
0.9939880967140198,22,10
0.993918776512146,22,256
0.9935974478721619,22,348
0.9934097528457642,22,438
0.9929768443107605,22,199
0.9928415417671204,22,417
0.9997260570526123,23,206
0.9994233250617981,23,45
0.999228835105896,23,40
0.999183177947998,23,145
0.9984864592552185,23,177
0.9982107877731323,23,253
0.9976205825805664,23,675
0.9973213076591492,23,20
0.9967581629753113,23,141
0.996342122554779,23,401
0.9953933954238892,23,226
0.9943296909332275,23,246
0.9943246245384216,23,249
0.9929227232933044,23,735
0.9925912618637085,23,260
0.9922547340393066,23,65
0.9919418692588806,23,308
0.9913060069084167,23,370
0.9902423024177551,23,227
0.9900562763214111,23,53
0.9999018907546997,24,746
0.9998478293418884,24,51
0.9998241066932678,24,41
0.999754786491394,24,940
0.9992203712463379,24,167
0.9991104602813721,24,31
0.9991087913513184,24,336
0.9989870190620422,24,324
0.9989143013954163,24,163
0.9983832836151123,24,349
0.9982649087905884,24,743
0.9975343346595764,24,117
0.997444748878479,24,0
0.9972536563873291,24,88
0.9966059327125549,24,432
0.9964520335197449,24,385
0.9963793158531189,24,187
0.9960174560546875,24,33
0.9960005283355713,24,685
0.9957130551338196,24,355
0.9999323487281799,25,903
0.9998258352279663,25,35
0.9997784495353699,25,453
0.9997209906578064,25,381
0.9995806217193604,25,213
0.9992897510528564,25,962
0.9990648031234741,25,256
0.9988906383514404,25,10
0.9985033869743347,25,22
0.9966583847999573,25,415
0.9962643384933472,25,87
0.9960732460021973,25,105
0.9960377216339111,25,81
0.9954881072044373,25,362
0.9940252900123596,25,59
0.9936836957931519,25,151
0.993646502494812,25,175
0.993201732635498,25,356
0.993147611618042,25,371
0.9930782914161682,25,333
0.999282956123352,26,333
0.9989853501319885,26,279
